crate,dir_name,primary_lib,is_workspace,feature_label,workspace_pathway,repository,loc,unsafe_pct,type,lib_or_app,test_case_count,description,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used
loom,loom,loom,False,default,,https://github.com/tokio-rs/loom,5.3K,2.86,Concurrency,lib,156,"The 156 tests achieve 66.9% API coverage and 79% line coverage, which is reasonable for a concurrency permutation testing framework but leaves roughly a third of the public API unexercised—notable given that loom's own correctness is foundational to any downstream concurrency verification. The low unsafe percentage (2.86%) is well-contained, but the coverage gaps mean some code paths involving atomic operations, memory orderings, and internal synchronization primitives may not be fully stress-tested under instrumentation. For use as an unsafe instrumentation benchmark the suite would benefi...",115,73,63.48,79.04,102,88.7,89.04,True,42,2
matrixmultiply,matrixmultiply,matrixmultiply,False,all-features,,https://github.com/bluss/matrixmultiply/,3.2K,55.73,Math/Computing,lib,15,"The 15 tests achieve an impressive 91.1% line coverage across a 3.2K-line crate where 55.73% of the code is unsafe—meaning roughly 1,780 lines of unsafe pointer arithmetic, SIMD intrinsics, and manual loop tiling for matrix multiplication kernels are actively exercised—but only 63.4% of the 112 public API methods are covered, leaving ~41 functions untested. The extremely high unsafe ratio makes this crate one of the most critical candidates for instrumentation benchmarking, and while the high line coverage confirms the core gemm kernels and packing routines are reached, the uncovered API su...",2,2,100.0,91.12,2,100.0,91.12,False,0,0
memchr,memchr,memchr,False,default,,https://github.com/BurntSushi/memchr,8.5K,14.09,Parsing/Text,lib,141,"The 141 tests achieve strong 77.0% API coverage and 91.4% line coverage across an 8.5K-line crate with a high 14.09% unsafe ratio, indicating thorough exercise of the core memchr, memchr2, memchr3, and memmem search implementations including SIMD-accelerated paths for SSE2, AVX2, and NEON along with generic fallbacks. The ~1,197 lines of unsafe code spanning vectorized byte search kernels, unaligned loads, and pointer arithmetic are well-covered by the high line coverage, though the 124 untested public methods likely include finder struct configuration variants and less-common iterator adap...",149,136,91.28,91.31,136,91.28,91.41,False,0,0
memmap2,memmap2,memmap2,False,all-features,,https://github.com/RazrFalcon/memmap2-rs,1.9K,13.32,System/OS,lib,27,"The 27 tests cover 81.4% of the public API and 84.3% of lines across a 1.9K-line crate with a substantial 13.32% unsafe ratio, indicating solid exercise of core memory-mapping operations including Mmap, MmapMut, MmapOptions, and advise/flush paths while leaving roughly 16 methods—likely including less-common remapping, locked pages, or platform-specific configuration accessors—untested. The ~253 lines of unsafe code involve direct mmap/munmap syscalls, raw pointer dereferencing for slice construction, and file descriptor handling, and the 84.3% line coverage suggests most of these critical ...",57,52,91.23,84.34,52,91.23,84.34,False,0,0
metrics,metrics,metrics,True,workspace/default,"metrics/metrics, metrics/metrics/tests",https://github.com/metrics-rs/metrics,10.9K,0.84,Utilities,workspace,17,"The test suite provides moderate coverage with 17 tests exercising roughly 65% of the 105 public API items and 67% line coverage, leaving a meaningful portion of the crate's surface untested. While the unsafe footprint is small at 0.84%, the gaps in API and line coverage mean that code paths surrounding or depending on unsafe operations may not be adequately validated. For unsafe instrumentation benchmarking, the suite would benefit from augmentation to close the ~35% API coverage gap and ensure all unsafe blocks and their callers are exercised under diverse inputs.",46,32,69.57,67.38,38,82.61,67.73,True,4,2
miette,miette,miette,True,workspace/all-features,miette/tests,https://github.com/zkat/miette,7.2K,3.37,Utilities,workspace,172,"The test suite provides reasonable breadth with 172 tests achieving 69.3% API coverage and 79.1% line coverage, exercising the core diagnostic reporting and error handling functionality well. However, roughly 30% of the public API remains untested, and with 3.37% unsafe code (~243 lines), the line coverage gap of ~21% raises concern about whether unsafe regions—likely involved in type erasure or trait object handling—are adequately exercised under diverse inputs. For unsafe instrumentation benchmarking, the suite would benefit from targeted tests that stress unsafe boundaries and edge cases...",47,36,76.6,79.12,46,97.87,80.79,True,3,2
rmp-serde,msgpack-rust,rmp,True,ws+extras/default,"msgpack-rust/rmp, msgpack-rust/rmp/tests, msgpack-rust/rmpv-tests",https://github.com/3Hren/msgpack-rust,6.2K,0.03,Serialization,workspace,575,"The 575 tests achieve only 28.3% API coverage and 65.0% line coverage across a 6.2K-line workspace, suggesting the tests heavily exercise core msgpack encode/decode paths through repetitive value-type permutations while leaving the vast majority of the 293 public methods—likely including many typed read/write helpers, ext format handlers, and serde integration entry points across workspace subcrates—without direct coverage. The 0.03% unsafe ratio is essentially zero, meaning unsafe instrumentation concerns are irrelevant for this crate regardless of coverage quality. The suite is adequate f...",55,16,28.33,65.02,55,100.0,65.32,True,2,0
native-tls,native-tls,native_tls,False,all-features,,https://github.com/sfackler/rust-native-tls,2.3K,1.22,Crypto/Security,lib,17,"The 17 tests achieve 80.5% line coverage but only exercise 53.5% of the public API surface, leaving nearly half of the 157 public functions/methods without direct test coverage — a notable gap for a security-critical crate. The low unsafe percentage (1.22%) means the small amount of unsafe code is likely concentrated in platform-specific FFI bindings, which the existing tests appear to cover indirectly through integration-style TLS connection tests rather than targeted unit tests. For unsafe instrumentation benchmarking, the suite would benefit from augmentation with targeted tests for unco...",32,24,75.0,80.55,30,93.75,85.13,True,2,2
ndarray,ndarray,ndarray,True,primary-only/default,ndarray/tests,https://github.com/rust-ndarray/ndarray,16.9K,5.63,Math/Computing,workspace,68,"The test suite achieves solid 85% line coverage and 75.2% API coverage, but with only 68 tests spanning 644 public API items, individual tests are likely broad integration-style exercises that touch multiple methods per test rather than isolating specific behaviors. The roughly 160 uncovered API surface items and 15% uncovered lines are a concern given the 5.63% unsafe code ratio, as ndarray's unsafe usage typically involves raw pointer arithmetic, unchecked indexing, and memory layout manipulation that benefit from targeted edge-case testing. For unsafe instrumentation benchmarking, the su...",61,51,83.61,85.02,51,83.61,85.02,False,0,0
nom,nom,nom,True,workspace/default,nom/tests,https://github.com/rust-bakery/nom,13.7K,0.19,Parsing/Text,workspace,208,"The 208 tests cover 67.4% of the large 559-method public API and achieve 80.1% line coverage across 13.7K lines, indicating thorough exercise of core parser combinators, byte-level matchers, and character parsers while leaving roughly 182 public functions—likely including many streaming-mode variants, lesser-used combinators like permutation and fold_many, and input-trait-specific implementations—without direct coverage. The 0.19% unsafe ratio is negligible, amounting to roughly 26 lines that are almost certainly within the well-covered parsing core, making unsafe instrumentation risk minim...",317,245,77.29,80.14,272,85.8,83.22,True,4,2
nu-ansi-term,nu-ansi-term,nu_ansi_term,False,default,,https://github.com/nushell/nu-ansi-term,1.6K,2.19,Utilities,lib,69,"The 69 tests cover 62.8% of the public API and 68.9% of lines across a 1.6K-line crate with a 2.19% unsafe ratio, indicating that core ANSI styling, color application, and string painting methods are exercised while roughly 32 methods—likely including individual color constructors, style modifier accessors, and platform-specific terminal handling—remain untested. The ~35 lines of unsafe code are likely related to Windows console API interactions or raw terminal escape sequence writing, and the 68.9% line coverage leaves meaningful uncertainty about whether these unsafe paths are fully reach...",51,36,70.59,68.9,46,90.2,80.89,True,8,2
num-bigint,num-bigint,num_bigint,False,default,,https://github.com/rust-num/num-bigint,7.4K,0.38,Math/Computing,lib,15,"The test suite achieves strong line coverage at 86.4% and covers 163 of 197 public API endpoints, which is respectable for a big integer library with extensive arithmetic operations. With only 0.38% unsafe code and 15 tests, the suite likely relies on a small number of comprehensive, parameterized tests rather than many isolated unit tests, though the 34 uncovered API functions represent a notable gap that could include edge cases around memory-sensitive operations. The minimal unsafe footprint means the suite is largely adequate for instrumentation benchmarking, but augmenting coverage for...",70,61,87.14,86.42,61,87.14,86.42,False,0,0
ordered-float,ordered-float,ordered_float,False,default,,https://github.com/reem/rust-ordered-float,2.4K,0.21,Math/Computing,lib,62,"The 62 tests cover less than 35% of lines and only 40% of the public API surface, indicating significant portions of the crate's functionality—likely trait implementations, edge cases, and conversion paths—go unexercised. While the unsafe footprint is minimal at 0.21%, the low overall coverage means the code paths surrounding or depending on unsafe operations may not be adequately stressed, making it difficult to confidently benchmark instrumentation overhead in realistic scenarios. The suite would benefit from substantial augmentation, particularly targeting untested API methods and achiev...",6,4,66.67,34.71,6,100.0,35.42,True,3,2
ordered-multimap,ordered-multimap,ordered_multimap,False,all-features,,https://github.com/sgodwincs/ordered-multimap-rs,3.4K,0.18,Data Structures,lib,113,"The test suite is solid with 113 tests achieving 94.0% line coverage and exercising roughly 69% of the public API, indicating thorough testing of core data structure operations with some peripheral methods left uncovered. The extremely low unsafe usage (0.18%) means the untested API surface is unlikely to involve unsafe code paths, reducing risk from the coverage gap. The suite is adequate for unsafe instrumentation benchmarking as-is, though closing the ~31% API coverage gap would strengthen confidence in edge-case behavior around iteration, entry APIs, or less common accessors.",76,64,84.21,93.98,64,84.21,93.98,False,0,0
os_info,os_info,os_info,True,workspace/default,"os_info/os_info, os_info/os_info/tests",https://github.com/stanislav-tkach/os_info,2.8K,1.31,System/OS,workspace,93,"The 93 tests achieve an exceptional 98.3% line coverage across a 2.8K-line crate with a low 1.31% unsafe ratio, indicating near-complete exercise of OS detection logic, version parsing, and platform-specific identification paths despite only 67.7% of the public API being directly covered. The small amount of unsafe code—likely FFI calls to platform APIs for retrieving OS version information—is almost certainly reached within the 98.3% covered lines, making instrumentation risk minimal and well-validated. The suite is highly adequate for unsafe instrumentation benchmarking given the near-tot...",10,10,100.0,98.27,10,100.0,98.27,False,0,0
ouroboros,ouroboros,ouroboros,True,workspace/default,"ouroboros/ouroboros, ouroboros/examples",https://github.com/someguynamedjosh/ouroboros,2.7K,0.86,Utilities,workspace,17,"The 17 tests cover 4 of 6 public API methods and achieve 86.6% line coverage across a 2.7K-line workspace with a low 0.86% unsafe ratio, indicating that the core self-referential struct macro—including construction, borrowing of dependent fields, and drop correctness—is well-exercised while 2 public methods, likely a builder variant or head mutation accessor, remain untested. The ~23 lines of unsafe code are central to ouroboros's purpose, involving raw pointer stabilization and self-referential field access where lifetime guarantees are manually enforced, and the 86.6% line coverage sugges...",4,4,100.0,86.59,4,100.0,86.59,False,0,0
parity-scale-codec,parity-scale-codec,parity_scale_codec,True,workspace/all-features,parity-scale-codec/tests,https://github.com/paritytech/parity-scale-codec,5.7K,0.4,Serialization,workspace,81,"The 81 tests achieve a strong 89.4% line coverage despite only covering 60.7% of the public API, indicating the core encode/decode paths are thoroughly exercised while many trait-derived and auxiliary methods remain untested. The 0.4% unsafe ratio is minimal, meaning the small amount of unsafe code—likely in low-level byte slicing or compact encoding—is almost certainly reached by the high line coverage, reducing the risk of blind spots for instrumentation. The suite is largely adequate for unsafe instrumentation benchmarking given the high line coverage over a small unsafe surface, though ...",7,7,100.0,89.35,7,100.0,89.35,False,0,0
parking_lot,parking_lot,parking_lot,False,default,"parking-lot/core, ",https://github.com/Amanieu/parking_lot,3.6K,4.6,Concurrency,workspace,97,"The 97 tests cover core concurrency primitives (Mutex, RwLock, Condvar, Once, etc.) but only reach 53% API coverage and 67% line coverage, leaving significant portions of the public interface and internal logic unexercised. For a concurrency crate where unsafe code underpins lock acquisition, poisoning, and memory ordering, the gaps in coverage are concerning—edge cases around contention paths, timeout behaviors, and unsafe atomic operations likely lack thorough validation. The suite would need augmentation with targeted stress tests for uncovered APIs and adversarial concurrent scenarios t...",20,10,50.0,66.72,15,75.0,70.53,True,14,3
petgraph,petgraph,petgraph,True,workspace/all-features,petgraph/tests,https://github.com/petgraph/petgraph,16.4K,0.27,Data Structures,workspace,78,"The 78 tests cover 65.2% of a very large 712-method API surface and achieve 83.3% line coverage across 16.4K lines, indicating the core graph algorithms—traversals, shortest paths, topological sort, and connected components—along with primary graph types are well-exercised, while many iterator, index, builder, and edge-case accessor methods across Graph, StableGraph, GraphMap, and matrix representations remain untested. The 0.27% unsafe ratio is minimal, likely confined to a few unchecked indexing or raw pointer operations in performance-critical graph internals, and the 83.3% line coverage...",339,278,82.01,83.33,278,82.01,83.33,False,0,0
pin-project-lite,pin-project-lite,pin_project_lite,True,workspace/default,"pin-project-lite/tests, pin-project-lite/tests/no-core, pin-project-lite/tests/no-std, pin-project-lite/tests/lint",https://github.com/taiki-e/pin-project-lite,1.2K,0.48,Utilities,workspace,35,"The 35 tests fully cover the single public macro entry point and achieve 89.9% line coverage across a compact 1.2K-line crate, indicating thorough exercise of the macro-generated pin projection code including struct and enum variants, field visibility, and drop guarantees. The 0.48% unsafe ratio corresponds to a handful of lines in the generated unsafe pin projection accessors, which the high line coverage strongly suggests are well-exercised across the test suite's various expansion scenarios. The suite is adequate for unsafe instrumentation benchmarking given its high coverage of the narr...",1,1,100.0,89.89,1,100.0,89.89,False,0,0
polling,polling,polling,False,default,,https://github.com/smol-rs/polling,3.8K,7.02,Async/Network,lib,36,"The 36 tests achieve 66.4% line coverage and exercise only 39.3% of the public API surface, leaving significant portions of the polling interface untested, which is concerning for a crate that wraps platform-specific I/O primitives with unsafe FFI calls. The ~7% unsafe code likely resides in platform-specific backends (epoll, kqueue, IOCP) where the coverage gaps are most dangerous, as subtle misuse of raw file descriptors or system call wrappers would go undetected. The suite requires substantial augmentation—particularly targeted tests for unsafe boundaries, edge cases in poller lifecycle...",32,21,65.62,66.44,32,100.0,79.22,True,12,2
portable-atomic,portable-atomic,portable_atomic,True,workspace/default,portable-atomic/tests,https://github.com/taiki-e/portable-atomic,21.9K,30.76,Concurrency,workspace,1003,"The 1003 tests achieve an impressive 92.1% line coverage across a large 21.9K-line crate with a very high 30.76% unsafe ratio, demonstrating thorough exercise of atomic operation implementations despite only 51.4% of the public API being directly covered—a gap explained by the highly repetitive API surface where each atomic type exposes identical method sets and a subset of types likely serves as proxy coverage for the rest. The ~6,700 lines of unsafe code spanning inline assembly, platform-specific atomic intrinsics, and fallback lock-based implementations are well-exercised by line covera...",422,418,99.05,92.06,418,99.05,92.06,False,0,0
postcard,postcard,postcard,True,workspace/default,,,,,,,,,21,19,90.48,72.24,19,90.48,72.24,False,0,0
pulldown-cmark,pulldown-cmark,pulldown_cmark,True,workspace/all-features,"pulldown-cmark/pulldown-cmark, pulldown-cmark/pulldown-cmark/tests",https://github.com/pulldown-cmark/pulldown-cmark,12.8K,1.92,Parsing/Text,workspace,59,"The 59 tests cover 75.0% of the 268 public API methods and achieve 82.6% line coverage across a 12.8K-line workspace with a moderate 1.92% unsafe ratio, indicating thorough exercise of the core Markdown parsing pipeline—heading, list, code block, link, and emphasis handling—while roughly 67 methods, likely including less-common event accessors, HTML rendering options, and footnote/table extension configurations, remain untested. The ~246 lines of unsafe code likely involve performance-critical string slicing with unchecked offsets into the input document and possibly SIMD-assisted scanning ...",22,12,54.55,82.63,22,100.0,83.74,True,5,2
rand,rand,rand,True,workspace/default,rand/tests,https://github.com/rust-random/rand,8.1K,0.34,Crypto/Security,workspace,148,"The test suite achieves strong line coverage at 87.8% but only exercises 62.4% of the public API surface, leaving roughly 53 public functions/methods untested, which could matter if any sit on paths touching the small amount of unsafe code. The 0.34% unsafe footprint is minimal, but given rand's role as a foundational crate in security-sensitive contexts, the gaps in API coverage warrant attention to ensure all unsafe blocks (likely in platform-specific RNG seeding or transmutation) are exercised under instrumentation. The suite is a reasonable baseline for unsafe instrumentation benchmarki...",31,24,77.42,87.84,30,96.77,88.79,True,13,2
rayon-core,rayon-core,rayon_core,False,default,,https://github.com/rayon-rs/rayon,4.1K,8.45,Concurrency,lib,139,"The 139 tests achieve an excellent 93.8% line coverage across a 4.1K-line crate with a significant 8.45% unsafe ratio, and cover 71.1% of the large 381-method public API, indicating thorough exercise of the core thread pool, work-stealing deques, job scheduling, and join/scope primitives while roughly 110 public methods—likely including less-common ThreadPoolBuilder configurations, custom spawn handlers, and broadcast/yield_local variants—remain untested. The ~346 lines of unsafe code span lock-free deque operations, raw job pointer passing between threads, and stack-pinned scope lifetime e...",66,47,71.13,93.75,66,100.0,94.92,True,80,0
rgb,rgb,rgb,False,all-features,,https://github.com/kornelski/rust-rgb,2.8K,1.85,Utilities,lib,27,"The test suite covers less than half the public API (43 of 100 functions) with 67.2% line coverage, leaving significant portions of the crate unexercised, which is notably thin for a utility crate of this size. With 1.85% unsafe code and only 27 tests, there is a meaningful risk that unsafe transmutations or pointer operations—common in RGB pixel type conversions—lack dedicated edge-case testing. The suite would need augmentation to adequately serve as a baseline for unsafe instrumentation benchmarking, particularly with targeted tests for memory layout assumptions, slice casting, and bound...",3,1,33.33,67.25,3,100.0,69.4,True,20,2
ring,ring,ring,True,workspace/all-features,ring/tests,https://github.com/briansmith/ring,16.1K,3.59,Crypto/Security,workspace,94,"The 94 tests cover 68.6% of a very large 828-method public API and achieve 87.9% line coverage across a 16.1K-line workspace with a 3.59% unsafe ratio, indicating that core cryptographic operations—AEAD encryption/decryption, digest hashing, key agreement, and signature verification—are thoroughly exercised while roughly 260 public methods, likely including less-common key format accessors, algorithm-specific configuration variants, and PBKDF2/HKDF parameter combinations, lack direct coverage. The ~578 lines of unsafe code involve FFI calls into the BoringSSL/assembly backend, raw pointer h...",91,84,92.31,87.9,84,92.31,87.9,False,0,0
rmp,rmp,rmp,False,default,Run in Workspace,https://crates.io/crates/rmp,6.2K,0.03,Serialization,workspace,575,"The test suite is robust with 575 tests covering 85.2% of the public API and achieving 81.8% line coverage, providing thorough exercise of MessagePack encoding and decoding paths across the 88 public functions. With only 0.03% unsafe code, the minimal unsafe surface is likely adequately covered by the existing tests, and the high test count relative to API size suggests good edge-case coverage for serialization boundary conditions. The suite is well-suited for unsafe instrumentation benchmarking without augmentation, as the near-negligible unsafe footprint and strong overall coverage mean o...",55,51,92.73,81.79,51,92.73,81.79,False,0,0
ron,ron,ron,False,all-features,,https://github.com/ron-rs/ron,7.2K,0.1,Serialization,lib,109,"The test suite achieves strong line coverage at 91.7% with 109 tests exercising 79% of the public API, providing solid coverage of serialization and deserialization paths for the RON format. The 0.1% unsafe footprint is minimal, meaning unsafe instrumentation overhead measurement would have very limited scope, though the high baseline coverage ensures that any instrumented paths are well-exercised by existing tests. The suite is adequate for benchmarking purposes without augmentation, as the uncovered 21% of API surface likely represents convenience wrappers or edge-case utilities that woul...",90,83,92.22,91.69,83,92.22,91.69,False,0,0
openssl,rust-openssl,openssl,True,workspace/default,"rust-openssl/openssl, rust-openssl/openssl/tests",https://github.com/sfackler/rust-openssl,34.8K,18.18,Crypto/Security,workspace,466,"The 466 tests achieve 78.2% line coverage and exercise roughly 70% of the public API, which is reasonable for an FFI-heavy crypto binding crate but leaves about 470 public functions untested, likely including less common cipher modes, X509 extension handling, and error-path logic. The 18.18% unsafe ratio is concentrated in FFI boundary code where memory ownership, pointer validity, and OpenSSL refcounting semantics are critical, and the ~22% of uncovered lines likely intersect with these unsafe regions, particularly around resource cleanup and error handling paths. For unsafe instrumentatio...",1156,852,73.7,78.17,945,81.75,80.05,True,5,2
rustc-demangle,rustc-demangle,rustc_demangle,True,workspace/default,rustc-demangle/tests,https://github.com/rust-lang/rustc-demangle,2.1K,5.08,System/OS,workspace,55,"The test suite achieves strong line coverage at 90.7% across 55 tests, effectively exercising the core demangling logic for both legacy and v0 Rust symbol mangling schemes, though 30% of the public API surface (18 functions/methods) remains untested. The relatively low unsafe percentage (5.08%) combined with high line coverage suggests the unsafe regions—likely raw string/byte manipulation in the parsing paths—are reasonably well-exercised, but the API coverage gap means some public entry points or formatting methods lack direct test validation. The suite is adequate as a baseline for unsaf...",3,2,66.67,90.72,3,100.0,91.11,True,1,3
scroll,scroll,scroll,False,default,,https://github.com/m4b/scroll,1.5K,0.61,Serialization,lib,43,"The 43 tests achieve 72.1% line coverage but only 23.7% API coverage, meaning the tests exercise a small core of read/write operations while leaving 29 of 38 public methods—likely including various Pread, Pwrite, and Gread/Gwrite trait implementations for different endianness and container types—completely untested. The 0.61% unsafe ratio is low and the unsafe code likely resides in transmute-style byte-to-type conversions that the tested core paths probably reach, but the extremely low API coverage means most public entry points into those paths are unvalidated. The suite is insufficient f...",8,4,50.0,72.15,7,87.5,75.21,True,3,2
semver,semver,semver,False,default,,https://github.com/dtolnay/semver,1.4K,10.39,Utilities,lib,38,"The test suite achieves strong line coverage at 91.7% and covers three-quarters of the public API, exercising the core version parsing, comparison, and requirement matching logic well. However, with 10.39% unsafe code and roughly 15 public functions/methods untested, there is a meaningful gap — the uncovered API surface may overlap with unsafe code paths (likely in parsing or internal representation optimizations) that would benefit from targeted tests. For unsafe instrumentation benchmarking, the suite provides a solid baseline but should be augmented with tests specifically targeting the ...",13,12,92.31,91.74,12,92.31,91.74,False,0,0
serde_with,serde_with,serde_with,True,ws+extras/all-features,"serde_with/serde_with, serde_with/serde_with/tests, serde_with/serde_with_test",https://github.com/jonasbb/serde_with,13.5K,0.03,Serialization,workspace,214,"The 214 tests cover only 32.9% of the 216 public API methods and 57.0% of lines across a 13.5K-line workspace, indicating that while core serialization adapters like DisplayFromStr, hex, and timestamp formats are exercised, the majority of serde_with's extensive adapter and helper surface—likely including many As, FromInto, TryFromInto, and collection-specific transform variants—lack direct testing. The 0.03% unsafe ratio is essentially zero, meaning unsafe instrumentation concerns are negligible for this crate regardless of coverage quality. The suite is adequate for unsafe instrumentation...",3,2,66.67,57.03,3,100.0,57.12,True,1,2
serde_yaml,serde_yaml,serde_yaml,False,default,,https://github.com/dtolnay/serde-yaml,8.7K,2.92,Serialization,lib,174,"The 174 tests cover roughly 41% of the public API surface with only 49.8% line coverage, indicating that substantial portions of serialization and deserialization paths—including edge cases and error handling—remain unexercised. With 2.92% unsafe code (approximately 250 lines), the low overall coverage creates a meaningful risk that unsafe regions are insufficiently stressed, particularly under adversarial or malformed inputs. The suite would need significant augmentation—targeting untested API entry points and specifically the unsafe code paths—before it could serve as an adequate baseline...",90,34,37.78,49.83,78,86.67,54.26,True,5,2
sharded-slab,sharded-slab,sharded_slab,False,default,,https://github.com/hawkw/sharded-slab,4.3K,4.17,Data Structures,lib,12,"The test suite is thin relative to the crate's API surface, with only 12 tests covering roughly half of the 232 public functions and achieving 59.3% line coverage, which is insufficient for a concurrent data structure containing unsafe code. Key gaps likely exist around edge cases in slab entry lifecycle management, concurrent access patterns, and the specific unsafe blocks that handle low-level shard indexing and memory operations. For unsafe instrumentation benchmarking, this suite would need significant augmentation—particularly stress tests exercising concurrent insert/remove/get paths ...",28,22,78.57,59.33,27,96.43,73.69,True,2,2
signal-hook,signal-hook,signal_hook,True,workspace/all-features,signal-hook/tests,https://github.com/vorner/signal-hook,3.3K,9.61,System/OS,workspace,39,"The 39 tests cover 55.8% of the 77 public API methods and 72.6% of lines across a 3.3K-line workspace with a significant 9.61% unsafe ratio, indicating that core signal registration, handler installation, and basic signal delivery paths are exercised while roughly 34 methods—likely including iterator-based signal handling, low-level sigaction wrappers, and cleanup/unregister operations—remain untested. The ~317 lines of unsafe code involve direct signal handler registration via libc, global mutable state manipulation in async-signal-safe contexts, and raw atomic operations in signal-handler...",34,28,82.35,73.45,28,82.35,72.55,False,0,0
simdutf8,simdutf8,simdutf8,False,default,,https://github.com/rusticstuff/simdutf8,2.0K,15.16,Parsing/Text,lib,13,"The 13 tests cover an impressive 85.1% of the public API and 73.3% of lines across a 2.0K-line crate with a high 15.16% unsafe ratio, indicating the core SIMD-accelerated UTF-8 validation paths—including SSE, AVX2, and fallback implementations—are exercised, though the 27% uncovered lines likely correspond to architecture-specific SIMD branches not reachable on the test platform. The ~303 lines of unsafe code span SIMD intrinsics, unaligned loads, and manual chunk processing where instrumentation overhead could directly affect alignment assumptions and vectorized control flow, making the co...",6,6,100.0,73.26,6,100.0,73.26,False,0,0
siphasher,siphasher,siphasher,False,all-features,,https://github.com/jedisct1/rust-siphash,1.4K,4.43,Utilities,lib,13,"The 13 tests cover roughly two-thirds of the public API and achieve 73.7% line coverage, which is reasonable for a hashing utility but leaves notable gaps given the 87 public functions/methods. The 4.43% unsafe code (likely for unaligned reads or transmutes in the core hashing loop) is critical to correctness, and with over a quarter of lines uncovered, there is a meaningful risk that some unsafe paths lack direct test exercising. For unsafe instrumentation benchmarking, the suite should be augmented with tests targeting uncovered API entry points and edge cases around alignment and partial...",39,25,64.1,73.65,39,100.0,90.35,True,12,2
slotmap,slotmap,slotmap,False,all-features,,https://github.com/orlp/slotmap,4.4K,4.6,Data Structures,lib,10,"The test suite covers roughly 40% of the 252 public API functions with only 10 tests, resulting in 54% line coverage, which is notably thin for a data structure crate of this size. Key gaps include the majority of public methods being unexercised, which is particularly concerning given the 4.6% unsafe code that likely underpins core slot allocation, indexing, and memory management operations. This suite is inadequate for unsafe instrumentation benchmarking and would need significant augmentation—especially targeting iterator implementations, removal paths, and secondary map operations—to pr...",161,79,49.07,54.02,140,86.96,77.79,True,5,2
smallvec,smallvec,smallvec,False,default,,https://github.com/servo/rust-smallvec,2.6K,15.33,Data Structures,lib,62,"The test suite achieves strong line coverage at 91.9% with 62 tests exercising roughly three-quarters of the public API, which is solid for a compact data structure crate where many methods are thin wrappers over core allocation and inline-storage logic. The 25% uncovered API surface is a moderate concern given that 15.33% of the codebase is unsafe—any untested methods that touch inline-to-heap transitions, capacity changes, or raw pointer manipulation represent meaningful gaps for unsafe instrumentation benchmarking. The suite is a good foundation but should be augmented with targeted test...",50,40,80.0,91.88,40,80.0,91.88,False,0,0
tokio,tokio,tokio,True,workspace/all-features,"tokio/tokio, tokio/tokio/tests, tokio/tests-integration",https://github.com/tokio-rs/tokio,56.7K,3.2,Async/Network,workspace,2455,"The 2455-test suite achieves 75.8% line coverage and exercises roughly two-thirds of the public API, which is reasonable for a complex async runtime but leaves approximately 900 public functions/methods untested, likely in less common combinators, configuration builders, and platform-specific paths. The 3.2% unsafe footprint—concentrated in critical areas like the I/O driver, task harness, and synchronization primitives—demands higher-than-average coverage in those modules, and the current 75.8% line coverage suggests some unsafe paths (particularly edge cases in waker handling, memory recl...",17,16,94.12,75.82,16,94.12,75.79,False,0,0
triomphe,triomphe,triomphe,False,default,,https://github.com/Manishearth/triomphe,2.0K,11.88,Concurrency,lib,39,"The test suite covers 68.1% of the API surface with 77.1% line coverage, which is reasonable but leaves roughly a third of public functions untested — a concern given that ~12% of the codebase is unsafe and the crate handles concurrent reference counting where subtle memory safety bugs are common. The 39 tests likely exercise core Arc-like operations but the coverage gaps suggest that edge cases around thin pointers, unique arc unwrapping, or less common conversion paths may lack validation, which are exactly the areas where unsafe instrumentation would need reliable baseline behavior. The ...",75,53,70.67,77.14,68,90.67,85.77,True,3,4
unicode-normalization,unicode-normalization,unicode_normalization,False,default,,https://github.com/unicode-rs/unicode-normalization,23.9K,0.2,Parsing/Text,lib,13,"The test suite achieves strong line coverage at 89.3% and covers 80.5% of the public API with only 13 tests, indicating each test exercises substantial normalization logic across multiple code paths. The 0.2% unsafe footprint is minimal, and given the high line coverage, the unsafe code is almost certainly exercised by the existing tests, making the suite adequate for unsafe instrumentation benchmarking without augmentation. The 15 uncovered API entries and ~11% uncovered lines represent a minor gap, but for a deterministic text-processing crate with negligible unsafe usage, this suite prov...",25,21,84.0,89.26,21,84.0,89.26,False,0,0
utf-8,utf8parse,utf8,False,default,Run in Workspace,https://github.com/alacritty/vte,3.0K,0.5,Parsing/Text,workspace,26,"The 26 tests cover 68.4% of the 19 public API methods and achieve a strong 87.2% line coverage across a 3.0K-line crate with a low 0.5% unsafe ratio, indicating thorough exercise of the core UTF-8 state machine parser including valid multi-byte sequences, continuation byte handling, and invalid byte rejection while roughly 6 methods—likely including some parser state accessors, reset functions, or less-common receiver trait implementations—remain untested. The ~15 lines of unsafe code are minimal and likely involve unchecked table lookups or byte-to-char conversions within the state machine...",12,11,91.67,87.2,11,91.67,87.2,False,0,0
